trial,epoch,loss,train_score,val_score,test_score,peak_mem_gb,model_type,hidden_channels,num_layers,n_params,elapsed_s
0,1,7.87962,0.076852,0.149602,0.220974,1.7792,resgnn,128,28,949928,4.1
0,10,3.107673,0.131932,0.183161,0.182232,1.7792,resgnn,128,28,949928,3.97
0,20,1.990746,0.438768,0.473774,0.467893,1.7792,resgnn,128,28,949928,3.86
0,30,1.731734,0.540284,0.571227,0.560315,1.7792,resgnn,128,28,949928,3.86
0,40,1.514685,0.586138,0.616866,0.621793,1.7792,resgnn,128,28,949928,3.88
0,50,1.293169,0.616949,0.620457,0.619344,1.7792,resgnn,128,28,949928,3.88
0,60,1.264792,0.641537,0.665459,0.65354,1.7792,resgnn,128,28,949928,3.88
0,70,1.334363,0.635335,0.665123,0.661626,1.7792,resgnn,128,28,949928,3.87
0,80,1.281537,0.641328,0.65321,0.656708,1.7792,resgnn,128,28,949928,3.86
0,90,1.228227,0.6397,0.674351,0.673765,1.7792,resgnn,128,28,949928,3.89
0,100,1.169505,0.654864,0.671163,0.681254,1.7792,resgnn,128,28,949928,3.94
